Country ISO3,Year,Indicator Code,Value
#country+code,#date+year,#indicator+code,#indicator+value+num
IRL,2018,SI.DST.50MD,7.1
IRL,2017,SI.DST.50MD,8.4
IRL,2016,SI.DST.50MD,8.8
IRL,2015,SI.DST.50MD,9.8
IRL,2014,SI.DST.50MD,9.4
IRL,2013,SI.DST.50MD,11.4
IRL,2012,SI.DST.50MD,11
IRL,2011,SI.DST.50MD,11.5
IRL,2010,SI.DST.50MD,10.6
IRL,2009,SI.DST.50MD,10.3
IRL,2008,SI.DST.50MD,8.8
IRL,2007,SI.DST.50MD,8.5
IRL,2006,SI.DST.50MD,9.5
IRL,2005,SI.DST.50MD,9.9
IRL,2004,SI.DST.50MD,12.1
IRL,2003,SI.DST.50MD,11.3
IRL,2002,SI.DST.50MD,11.5
IRL,2000,SI.DST.50MD,11
IRL,1996,SI.DST.50MD,12.2
IRL,1995,SI.DST.50MD,11.7
IRL,1994,SI.DST.50MD,12.5
IRL,1987,SI.DST.50MD,13.7
IRL,2018,SI.POV.DDAY,0
IRL,2017,SI.POV.DDAY,0.2
IRL,2016,SI.POV.DDAY,0.1
IRL,2015,SI.POV.DDAY,0.4
IRL,2014,SI.POV.DDAY,0.4
IRL,2013,SI.POV.DDAY,0.7
IRL,2012,SI.POV.DDAY,0.3
IRL,2011,SI.POV.DDAY,0.5
IRL,2010,SI.POV.DDAY,0.5
IRL,2009,SI.POV.DDAY,0.5
IRL,2008,SI.POV.DDAY,0.2
IRL,2007,SI.POV.DDAY,0.1
IRL,2006,SI.POV.DDAY,0.4
IRL,2005,SI.POV.DDAY,0
IRL,2004,SI.POV.DDAY,0.1
IRL,2003,SI.POV.DDAY,0.1
IRL,2002,SI.POV.DDAY,0.2
IRL,2000,SI.POV.DDAY,0.2
IRL,1996,SI.POV.DDAY,0.2
IRL,1995,SI.POV.DDAY,0.2
IRL,1994,SI.POV.DDAY,0.2
IRL,1987,SI.POV.DDAY,0.7
IRL,2018,SI.POV.GAPS,0
IRL,2017,SI.POV.GAPS,0.2
IRL,2016,SI.POV.GAPS,0.1
IRL,2015,SI.POV.GAPS,0.3
IRL,2014,SI.POV.GAPS,0.3
IRL,2013,SI.POV.GAPS,0.5
IRL,2012,SI.POV.GAPS,0.1
IRL,2011,SI.POV.GAPS,0.4
IRL,2010,SI.POV.GAPS,0.4
IRL,2009,SI.POV.GAPS,0.4
IRL,2008,SI.POV.GAPS,0.1
IRL,2007,SI.POV.GAPS,0.1
IRL,2006,SI.POV.GAPS,0.1
IRL,2005,SI.POV.GAPS,0
IRL,2004,SI.POV.GAPS,0
IRL,2003,SI.POV.GAPS,0.1
IRL,2002,SI.POV.GAPS,0.1
IRL,2000,SI.POV.GAPS,0
IRL,1996,SI.POV.GAPS,0.1
IRL,1995,SI.POV.GAPS,0.1
IRL,1994,SI.POV.GAPS,0.1
IRL,1987,SI.POV.GAPS,0.3
